function	G2N01	G2N02	G2N03	G2N04	G2N05	G2N06	G2N07	G2N08	G2N09	G2N10	G2N11	G2N12	G2P01	G2P02	G2P03	G2P04	G2P05	G2P06	G2P07	G2P08	G2P09	G2P10	G2P11	G2P12	G5N01	G5N02	G5N03	G5N04	G5N05	G5N06	G5N07	G5N08	G5N09	G5N10	G5N11	G5N12	G5P01	G5P02	G5P03	G5P04	G5P05	G5P06	G5P07	G5P08	G5P09	G5P10	G5P11	G5P12	NC01	NC02	NC03	NC04	NC05	PCRN	PCRP	PM01	PM02	PM03	SC01	SC02
THIOESTER-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0
THIOPURINE-S-METHYLTRANSFERASE-RXN	12908.67	7714.790000000001	5734.16	6088.71	4625.93	7679.519999999999	4874.789999999999	6916.41	7497.01	25612.340000000004	7463.539999999999	6335.22	9450.62	8588.149999999998	7903.56	8498.47	9555.92	21551.06	8217.93	7313.389999999999	6918.67	7597.48	9837.62	5014.26	6071.72	6856.17	10123.49	12076.78	12638.14	5684.62	7607.459999999999	8027.2	8611.140000000001	4938.0	8031.32	7261.9	4963.8	7047.870000000001	6685.96	14089.57	12008.89	7727.13	5256.93	7606.43	6557.42	5794.9	9784.0	4045.23	18.0	1206.6	434.0	1231.5	186.2	112.33	10.5	1615.5	405.5	2667.83	3285.53	2742.32
THIOREDOXIN-REDUCT-NADPH-RXN	551153.86	622224.44	528832.03	616636.21	495900.35	677085.3200000001	370612.11	514249.36	557303.75	657072.55	631124.5	575023.9	658279.15	762931.49	676829.6699999999	753643.24	812996.13	766231.15	534468.1099999999	617866.6499999999	573208.56	563204.53	749513.51	398134.97	602561.28	703587.99	617938.03	782539.47	692917.8999999999	622084.3	599233.92	571835.16	834601.98	589907.3500000001	762865.96	526835.22	620513.9299999999	655705.21	616187.3300000001	791377.2899999999	811154.03	664533.85	521219.48999999993	588703.9199999999	678616.86	728992.4	727383.1	371017.76	5653.7	96330.65	67273.93	154086.86	46253.87	29354.03	76880.61000000002	731644.9599999998	583868.61	754299.8300000001	492078.17	455732.23
THIOSULFATE-DEHYDROGENASE-RXN	34258.2	42513.97	28744.9	27173.8	22799.83	40880.240000000005	20379.6	25578.39	30138.47	52092.6	30782.82	28320.01	41872.11	46679.06	47127.7	61602.07	42934.47	69863.59	37436.65	42568.65	41389.6	42509.37	45672.18	30307.26	31849.18	50560.13999999999	50033.22	69294.0	42896.73	42007.89	47473.21	42526.29	25448.53	52137.4	46943.64	39570.46	33418.46	58309.2	51797.26	79301.53	50972.53	54948.0	34850.369999999995	47862.0	34495.17	27616.83	38373.16	21179.230000000003	118.5	5699.83	3856.5	4830.5	1905.7	462.0	13.5	27568.54	16233.07	45932.39	10620.39	8583.84
THIOSULFATE-SULFURTRANSFERASE-RXN	291488.07	311333.51	277185.18000000005	362632.21	255090.73	351425.85	212990.07	289840.63	297393.30000000005	366295.92999999993	358559.76	314383.14	356297.49999999994	383755.37	348911.37	377327.69000000006	458441.6	403673.23	270923.37	325914.47000000003	299509.02	300094.58	374208.0	198881.83	352953.9	332889.96	297659.32	409023.57	339958.16	332025.67999999993	299537.75	295237.38	378160.34	305315.23	430301.06000000006	259003.44000000003	334313.43000000005	309713.64	309520.08	372820.52	423523.55	348150.43999999994	280367.19	262060.4	362179.77	399625.04999999993	360834.39	209123.75	3450.5	47541.170000000006	31313.03	73951.0	22494.28	16540.49	229721.86	332597.9600000001	227850.7	377653.47	265332.33	252684.85
THREDEHYD-RXN	429733.12	495561.44	436859.08	511303.54999999993	458071.72	590703.1	292435.68000000005	419261.27	474038.81	581164.59	550748.21	481089.09	540175.48	627305.05	553597.87	605874.0800000001	635896.05	649043.32	454013.75	511984.05	472121.1	479509.24	644374.47	334915.31999999995	542546.71	537786.6100000001	500665.0	650632.0599999999	562439.4	540079.3600000001	490976.45	465640.77	580557.03	463718.88	648115.3600000001	415402.88	557020.88	515938.8	516772.14	622677.29	657952.11	562558.27	448796.1599999999	428185.47	546915.61	589518.5700000001	561853.07	317647.97	5441.43	70315.40000000001	47978.26	142003.17	36818.880000000005	25204.59	153313.89999999997	448220.9199999999	343681.01	507149.64	478403.08	451110.85
THREODEHYD-RXN	28899.49	43230.29	44195.22	44661.03	38277.07	60331.65	25776.74	43034.71	49862.64	56891.99	64083.12999999999	53398.91	49835.36	62576.64	56493.27	59464.850000000006	59491.62999999999	58628.09	44332.24999999999	51712.68	46701.27	50595.28999999999	62993.06	35531.22	54401.84	42551.14000000001	46234.9	74107.18	58747.73	51844.89	47582.350000000006	40875.78	48218.17	43092.02	56451.92	41928.13	65373.78999999999	48190.61	54639.93	60286.53999999999	63641.5	60200.7	48964.630000000005	32865.57	57703.87000000001	61297.84999999999	51196.350000000006	38517.53	247.5	5005.0	2314.9300000000003	3878.17	1525.7600000000002	406.73	76528.84	12629.13	3870.39	16036.03	24107.67	22320.990000000005
THREONINE--TRNA-LIGASE-RXN	268228.12	303338.16000000003	260236.37	320046.19	262240.82	346031.81999999995	184165.01	246185.21	264891.01	327089.12	319182.57	280862.79000000004	313292.97000000003	382922.61	331999.77	362227.96	387113.91	375921.71	258792.1	308416.05	278272.25999999995	283922.59	364015.94000000006	192343.1	276163.61	286510.63	251425.64	326966.03	281556.67	274467.83	252346.59	241799.29	307565.01	250191.52	329214.61	218627.79000000004	282723.91	272728.88	271174.36	331129.68999999994	329111.53	291154.74	226842.61	231698.3	286590.53	312246.72000000003	292159.1	167520.67	2459.76	39634.55	26296.74	75825.98	19864.1	12303.09	76666.63	248890.76000000004	184906.38	270775.77	284831.63	264093.42
THREONINE-ALDOLASE-RXN	206834.09	237667.22	199090.03000000003	227955.16	212061.16	273101.95	127247.77999999998	185719.18	205715.14	252214.2	245942.71	210503.66	220953.54	299605.58	246937.66	276024.94999999995	257266.13	313597.76	212941.35	237995.77	210465.7	223230.32	299393.58	156067.72999999998	221759.09	238100.57	224214.12	285189.14	228476.09	229825.14	210462.78	207574.73	215808.85	210355.04	278120.09	179722.89999999997	227521.88	234532.4	221079.95	293167.9	295936.16000000003	247821.03	190792.23	190473.77	223498.5	233976.74	229601.28	133878.35	1540.1799999999998	25027.65	18620.31	62711.46000000001	13628.37	6608.83	76632.86	166725.64	102008.9	206874.07	246585.27	231928.74
THRESYN-RXN	325102.81	377522.36	331430.68	414232.61	366456.61	450735.39	238981.18	323096.94999999995	342626.27	418852.4	427693.71	369936.89	363170.38	476132.2	380874.7100000001	422482.53	477952.19	462000.61	318909.01	388870.59	338205.75	351081.54	440697.24	239211.28	365009.9	362869.48	323263.42000000004	422194.28	351129.11	370465.84	334881.57	320380.12	385990.38	338713.63	454132.5	280414.69	364491.35	332725.51	344686.67999999993	409828.25	441848.15	375278.68	294209.42	278328.97	364881.62	395795.42	367242.32	219302.4	3306.85	50448.88	30637.09	115168.15	27399.23	16380.37	76723.63000000002	336864.13	224118.93	386602.06	460939.36	438475.01
