passage	treat	selected	log_ch4	offspring
2	p	-1.5018599171257143	-1.521938838283279	-1.521938838283279
2	p	-1.5018599171257143	-1.4110626897845315	-1.4110626897845315
2	p	-1.5018599171257143	-0.9666193713705	-0.9666193713705
2	p	-1.5018599171257143	-0.5869377790132578	-0.5869377790132578
3	n	-1.3578703659869031	-1.6955797384752225	-1.6955797384752225
3	n	-1.3578703659869031	-1.6177754733719787	-1.6177754733719787
3	n	-1.3578703659869031	-1.5960886464904107	-1.5960886464904107
3	n	-1.3578703659869031	-1.5328006592690877	-1.5328006592690877
3	n	-1.3578703659869031	-1.4874748091289538	-1.4874748091289538
3	n	-1.3578703659869031	-1.4786185540217884	-1.4786185540217884
3	n	-1.3578703659869031	-1.4258292638832124	-1.4258292638832124
3	n	-1.3578703659869031	-1.3948091734114731	-1.3948091734114731
3	n	-1.3578703659869031	-1.3633510311680652	-1.3633510311680652
3	n	-1.3578703659869031	-1.3435359956987274	-1.3435359956987274
3	n	-1.3578703659869031	-1.1926321010422083	-1.1926321010422083
3	n	-1.3578703659869031	-1.1845440904706486	-1.1845440904706486
3	p	-0.776778575191879	-1.4976560007657014	-1.4976560007657014
3	p	-0.776778575191879	-1.418911581826098	-1.418911581826098
3	p	-0.776778575191879	-1.292620503721149	-1.292620503721149
3	p	-0.776778575191879	-1.1794756059543898	-1.1794756059543898
3	p	-0.776778575191879	-1.1367468553541265	-1.1367468553541265
3	p	-0.776778575191879	-1.0649104600485066	-1.0649104600485066
3	p	-0.776778575191879	-1.0511346213957793	-1.0511346213957793
3	p	-0.776778575191879	-1.0404092493058268	-1.0404092493058268
3	p	-0.776778575191879	-0.9607054769750724	-0.9607054769750724
3	p	-0.776778575191879	-0.9043528446198018	-0.9043528446198018
3	p	-0.776778575191879	-0.7250213225316199	-0.7250213225316199
3	p	-0.776778575191879	-0.48625969157058646	-0.48625969157058646
4	n	-1.4883149993523874	-2.1750891269054	-2.1750891269054
4	n	-1.4883149993523874	-2.095942412356003	-2.095942412356003
4	n	-1.4883149993523874	-2.0647938417723504	-2.0647938417723504
4	n	-1.4883149993523874	-1.9410469118214608	-1.9410469118214608
4	n	-1.4883149993523874	-1.9009220494873351	-1.9009220494873351
4	n	-1.4883149993523874	-1.8208816751287549	-1.8208816751287549
4	n	-1.4883149993523874	-1.5815420226633667	-1.5815420226633667
4	n	-1.4883149993523874	-1.5573453603585028	-1.5573453603585028
4	n	-1.4883149993523874	-1.2669446722974675	-1.2669446722974675
4	n	-1.4883149993523874	-0.7296134853792069	-0.7296134853792069
4	n	-1.4883149993523874	-0.39805574467203786	-0.39805574467203786
4	n	-1.4883149993523874	-0.11865158264570738	-0.11865158264570738
4	p	-0.7052112862406694	-3	-3
4	p	-0.7052112862406694	-1.626039210353175	-1.626039210353175
4	p	-0.7052112862406694	-1.562462148249335	-1.562462148249335
4	p	-0.7052112862406694	-1.5321680787403351	-1.5321680787403351
4	p	-0.7052112862406694	-1.5083016527633568	-1.5083016527633568
4	p	-0.7052112862406694	-1.4621135580786595	-1.4621135580786595
4	p	-0.7052112862406694	-1.424842718156834	-1.424842718156834
4	p	-0.7052112862406694	-1.3280886580037967	-1.3280886580037967
4	p	-0.7052112862406694	-0.937751212257209	-0.937751212257209
4	p	-0.7052112862406694	-0.4066872078232549	-0.4066872078232549
4	p	-0.7052112862406694	-0.08741514423746181	-0.08741514423746181
4	p	-0.7052112862406694	0.19494929840723593	0.19494929840723593
