flux_date	passage	treat	rep	ch4	rank_ch4	log_ch4	selected
2019-12-10	4	n	02	0.01557796505233362	39	-1.6177754733719787	FALSE
2019-12-10	4	n	09	0.0168125607617526	42	-1.5960886464904107	FALSE
2019-12-10	4	n	04	0.02078883684500204	49	-1.5328006592690875	FALSE
2019-12-10	4	p	11	0.023260362831781765	54	-1.4976560007657014	FALSE
2019-12-10	4	n	01	0.02401451475119535	57	-1.4874748091289538	FALSE
2019-12-10	4	n	07	0.024685057777386755	59	-1.4786185540217884	FALSE
2019-12-10	4	n	06	0.028978493136715404	67	-1.4258292638832124	TRUE
2019-12-10	4	p	10	0.029580789796407637	69	-1.418911581826098	FALSE
2019-12-10	4	n	05	0.03175585101806939	71	-1.3948091734114731	FALSE
2019-12-10	4	n	11	0.034782510750200016	75	-1.3633510311680652	FALSE
2019-12-10	4	n	12	0.03680462038531875	78	-1.3435359956987274	TRUE
